[2025-12-13T06:55:34.995Z] Total files available: 491
[2025-12-13T07:03:53.023Z] [worker 2] 深海圈丨AI产品出海2期2群_2025-12-07.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:04:02.441Z] [worker 2] 深海圈丨AI产品出海2期2群_2025-12-09.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:04:03.142Z] [worker 1] 深海圈丨AI产品出海2期2群_2025-12-08.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:04:12.457Z] [worker 3] 深海圈丨AI产品出海2期2群_2025-12-05.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:04:22.221Z] [worker 2] 深海圈丨AI产品出海2期2群_2025-12-10.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:04:22.373Z] 
All files processed successfully.
[2025-12-13T07:04:22.374Z] 
=== Processing month 2025-11, files: 118 ===
[2025-12-13T07:04:38.452Z] [worker 3] 深海圈丨AI产品出海1期1群_2025-11-03.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:04:50.868Z] [worker 2] 深海圈丨AI产品出海1期1群_2025-11-02.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:05:04.242Z] [worker 3] 深海圈丨AI产品出海1期1群_2025-11-04.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:05:22.542Z] [worker 2] 深海圈丨AI产品出海1期1群_2025-11-05.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:05:29.067Z] [worker 1] 深海圈丨AI产品出海1期1群_2025-11-01.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:05:44.471Z] [worker 3] 深海圈丨AI产品出海1期1群_2025-11-06.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:06:04.194Z] [worker 3] 深海圈丨AI产品出海1期1群_2025-11-09.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:06:11.417Z] [worker 1] 深海圈丨AI产品出海1期1群_2025-11-08.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:06:18.898Z] [worker 3] 深海圈丨AI产品出海1期1群_2025-11-10.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:06:29.546Z] [worker 2] 深海圈丨AI产品出海1期1群_2025-11-07.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:06:45.397Z] [worker 3] 深海圈丨AI产品出海1期1群_2025-11-12.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:06:50.185Z] [worker 1] 深海圈丨AI产品出海1期1群_2025-11-11.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:06:55.959Z] [worker 2] 深海圈丨AI产品出海1期1群_2025-11-13.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:07:32.621Z] [worker 3] 深海圈丨AI产品出海1期1群_2025-11-14.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:07:42.807Z] [worker 3] 深海圈丨AI产品出海1期1群_2025-11-17.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:07:52.881Z] [worker 2] 深海圈丨AI产品出海1期1群_2025-11-16.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:08:21.547Z] [worker 1] 深海圈丨AI产品出海1期1群_2025-11-15.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:08:38.317Z] [worker 3] 深海圈丨AI产品出海1期1群_2025-11-18.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:09:16.106Z] [worker 2] 深海圈丨AI产品出海1期1群_2025-11-19.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:09:23.124Z] [worker 2] 深海圈丨AI产品出海1期1群_2025-11-22.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:09:28.681Z] [worker 3] 深海圈丨AI产品出海1期1群_2025-11-21.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:09:34.801Z] [worker 1] 深海圈丨AI产品出海1期1群_2025-11-20.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:09:57.369Z] [worker 3] 深海圈丨AI产品出海1期1群_2025-11-24.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:10:20.987Z] [worker 1] 深海圈丨AI产品出海1期1群_2025-11-25.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:10:22.222Z] [worker 3] 深海圈丨AI产品出海1期1群_2025-11-26.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:10:35.889Z] [worker 1] 深海圈丨AI产品出海1期1群_2025-11-27.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:10:57.424Z] [worker 3] 深海圈丨AI产品出海1期1群_2025-11-28.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:11:00.344Z] [worker 1] 深海圈丨AI产品出海1期1群_2025-11-29.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:11:12.281Z] [worker 3] 深海圈丨AI产品出海1期1群_2025-11-30.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:11:24.593Z] [worker 1] 深海圈丨AI产品出海1期2群_2025-11-01.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:11:28.785Z] [worker 2] 深海圈丨AI产品出海1期1群_2025-11-23.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:11:33.072Z] [worker 3] 深海圈丨AI产品出海1期2群_2025-11-02.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:11:44.939Z] [worker 1] 深海圈丨AI产品出海1期2群_2025-11-03.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:11:50.536Z] [worker 3] 深海圈丨AI产品出海1期2群_2025-11-05.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:11:56.794Z] [worker 2] 深海圈丨AI产品出海1期2群_2025-11-04.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:11:57.729Z] [worker 1] 深海圈丨AI产品出海1期2群_2025-11-06.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:12:09.473Z] [worker 3] 深海圈丨AI产品出海1期2群_2025-11-07.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:12:10.246Z] [worker 1] 深海圈丨AI产品出海1期2群_2025-11-09.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:12:11.679Z] [worker 2] 深海圈丨AI产品出海1期2群_2025-11-08.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:12:19.776Z] [worker 1] 深海圈丨AI产品出海1期2群_2025-11-12.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:12:30.722Z] [worker 3] 深海圈丨AI产品出海1期2群_2025-11-11.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:12:42.741Z] [worker 1] 深海圈丨AI产品出海1期2群_2025-11-14.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:12:51.508Z] [worker 2] 深海圈丨AI产品出海1期2群_2025-11-13.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:12:57.193Z] [worker 3] 深海圈丨AI产品出海1期2群_2025-11-15.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:12:58.732Z] [worker 2] 深海圈丨AI产品出海1期2群_2025-11-17.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:13:11.314Z] [worker 1] 深海圈丨AI产品出海1期2群_2025-11-16.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:13:20.242Z] [worker 3] 深海圈丨AI产品出海1期2群_2025-11-18.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:13:34.166Z] [worker 2] 深海圈丨AI产品出海1期2群_2025-11-19.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:13:42.252Z] [worker 1] 深海圈丨AI产品出海1期2群_2025-11-20.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:13:43.085Z] [worker 3] 深海圈丨AI产品出海1期2群_2025-11-21.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:13:58.633Z] [worker 1] 深海圈丨AI产品出海1期2群_2025-11-23.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:14:02.720Z] [worker 2] 深海圈丨AI产品出海1期2群_2025-11-22.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:14:21.247Z] [worker 3] 深海圈丨AI产品出海1期2群_2025-11-24.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:14:26.694Z] [worker 1] 深海圈丨AI产品出海1期2群_2025-11-25.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:14:37.451Z] [worker 2] 深海圈丨AI产品出海1期2群_2025-11-26.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:14:44.592Z] [worker 3] 深海圈丨AI产品出海1期2群_2025-11-27.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:14:50.634Z] [worker 1] 深海圈丨AI产品出海1期2群_2025-11-28.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:15:03.096Z] [worker 3] 深海圈丨AI产品出海1期2群_2025-11-30.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:15:07.220Z] [worker 2] 深海圈丨AI产品出海1期2群_2025-11-29.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:16:02.454Z] [worker 2] 深海圈丨AI产品出海2期1群_2025-11-03.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:16:02.462Z] [worker 1] 深海圈丨AI产品出海2期1群_2025-11-01.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:16:28.625Z] [worker 3] 深海圈丨AI产品出海2期1群_2025-11-02.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:17:39.397Z] [worker 3] 深海圈丨AI产品出海2期1群_2025-11-06.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:18:11.263Z] [worker 1] 深海圈丨AI产品出海2期1群_2025-11-05.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:18:26.671Z] [worker 3] 深海圈丨AI产品出海2期1群_2025-11-07.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:18:56.349Z] [worker 2] 深海圈丨AI产品出海2期1群_2025-11-04.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:19:03.351Z] [worker 1] 深海圈丨AI产品出海2期1群_2025-11-08.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:19:05.361Z] [worker 3] 深海圈丨AI产品出海2期1群_2025-11-09.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:19:39.972Z] [worker 3] 深海圈丨AI产品出海2期1群_2025-11-12.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:20:43.624Z] [worker 2] 深海圈丨AI产品出海2期1群_2025-11-10.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:21:12.079Z] [worker 1] 深海圈丨AI产品出海2期1群_2025-11-11.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:21:56.585Z] [worker 1] 深海圈丨AI产品出海2期1群_2025-11-15.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:22:12.109Z] [worker 2] 深海圈丨AI产品出海2期1群_2025-11-14.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:22:16.945Z] [worker 1] 深海圈丨AI产品出海2期1群_2025-11-16.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:22:45.795Z] [worker 3] 深海圈丨AI产品出海2期1群_2025-11-13.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:22:56.274Z] [worker 2] 深海圈丨AI产品出海2期1群_2025-11-17.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:23:02.152Z] [worker 1] 深海圈丨AI产品出海2期1群_2025-11-18.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T07:23:24.141Z] [worker 3] 深海圈丨AI产品出海2期1群_2025-11-19.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:44:08.411Z] [worker 3] 深海圈丨AI产品出海2期1群_2025-11-22.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:45:06.278Z] [worker 3] 深海圈丨AI产品出海2期1群_2025-11-23.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:45:23.050Z] [worker 2] 深海圈丨AI产品出海2期1群_2025-11-20.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:45:59.385Z] [worker 3] 深海圈丨AI产品出海2期1群_2025-11-24.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:46:19.701Z] [worker 2] 深海圈丨AI产品出海2期1群_2025-11-25.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:46:34.884Z] [worker 1] 深海圈丨AI产品出海2期1群_2025-11-21.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:46:39.658Z] [worker 2] 深海圈丨AI产品出海2期1群_2025-11-27.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:46:58.220Z] [worker 2] 深海圈丨AI产品出海2期1群_2025-11-29.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:47:18.103Z] [worker 1] 深海圈丨AI产品出海2期1群_2025-11-28.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:47:24.573Z] [worker 3] 深海圈丨AI产品出海2期1群_2025-11-26.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:47:34.093Z] [worker 1] 深海圈丨AI产品出海2期2群_2025-11-01.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:47:51.398Z] [worker 2] 深海圈丨AI产品出海2期1群_2025-11-30.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:48:07.948Z] [worker 3] 深海圈丨AI产品出海2期2群_2025-11-02.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:49:00.126Z] [worker 3] 深海圈丨AI产品出海2期2群_2025-11-05.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:49:07.107Z] [worker 1] 深海圈丨AI产品出海2期2群_2025-11-03.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:49:26.365Z] [worker 1] 深海圈丨AI产品出海2期2群_2025-11-07.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:49:26.990Z] [worker 2] 深海圈丨AI产品出海2期2群_2025-11-04.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:49:32.038Z] [worker 3] 深海圈丨AI产品出海2期2群_2025-11-06.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:49:43.401Z] [worker 2] 深海圈丨AI产品出海2期2群_2025-11-09.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:49:46.060Z] [worker 1] 深海圈丨AI产品出海2期2群_2025-11-08.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:49:57.829Z] [worker 1] 深海圈丨AI产品出海2期2群_2025-11-12.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:50:22.193Z] [worker 2] 深海圈丨AI产品出海2期2群_2025-11-11.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:50:25.327Z] [worker 3] 深海圈丨AI产品出海2期2群_2025-11-10.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:50:40.860Z] [worker 1] 深海圈丨AI产品出海2期2群_2025-11-13.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:50:43.088Z] [worker 2] 深海圈丨AI产品出海2期2群_2025-11-14.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:51:00.171Z] [worker 3] 深海圈丨AI产品出海2期2群_2025-11-15.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:51:00.193Z] [worker 2] 深海圈丨AI产品出海2期2群_2025-11-17.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:51:07.705Z] [worker 1] 深海圈丨AI产品出海2期2群_2025-11-16.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:51:25.705Z] [worker 3] 深海圈丨AI产品出海2期2群_2025-11-18.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:51:47.518Z] [worker 2] 深海圈丨AI产品出海2期2群_2025-11-19.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:51:57.998Z] [worker 1] 深海圈丨AI产品出海2期2群_2025-11-20.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:52:12.341Z] [worker 2] 深海圈丨AI产品出海2期2群_2025-11-22.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:52:29.923Z] [worker 1] 深海圈丨AI产品出海2期2群_2025-11-23.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:52:33.266Z] [worker 3] 深海圈丨AI产品出海2期2群_2025-11-21.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:52:55.019Z] [worker 2] 深海圈丨AI产品出海2期2群_2025-11-24.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:53:03.506Z] [worker 1] 深海圈丨AI产品出海2期2群_2025-11-25.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:53:05.253Z] [worker 3] 深海圈丨AI产品出海2期2群_2025-11-26.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:53:22.396Z] [worker 2] 深海圈丨AI产品出海2期2群_2025-11-27.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:53:27.573Z] [worker 3] 深海圈丨AI产品出海2期2群_2025-11-29.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:53:29.336Z] [worker 1] 深海圈丨AI产品出海2期2群_2025-11-28.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:53:29.487Z] 
All files processed successfully.
[2025-12-13T08:53:29.487Z] 
=== Processing month 2025-10, files: 68 ===
[2025-12-13T08:53:57.867Z] [worker 2] 深海圈丨AI产品出海1期1群_2025-10-02.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:54:00.874Z] [worker 3] 深海圈丨AI产品出海1期1群_2025-10-03.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:54:23.466Z] [worker 1] 深海圈丨AI产品出海1期1群_2025-10-01.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:54:23.970Z] [worker 2] 深海圈丨AI产品出海1期1群_2025-10-04.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:54:32.521Z] [worker 3] 深海圈丨AI产品出海1期1群_2025-10-05.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:54:56.791Z] [worker 1] 深海圈丨AI产品出海1期1群_2025-10-06.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:55:16.111Z] [worker 3] 深海圈丨AI产品出海1期1群_2025-10-08.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:55:19.629Z] [worker 2] 深海圈丨AI产品出海1期1群_2025-10-07.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:56:37.758Z] [worker 2] 深海圈丨AI产品出海1期1群_2025-10-11.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:56:47.922Z] [worker 3] 深海圈丨AI产品出海1期1群_2025-10-10.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:57:24.576Z] [worker 2] 深海圈丨AI产品出海1期1群_2025-10-12.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:57:41.854Z] [worker 1] 深海圈丨AI产品出海1期1群_2025-10-09.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:57:54.489Z] [worker 3] 深海圈丨AI产品出海1期1群_2025-10-13.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:58:19.495Z] [worker 2] 深海圈丨AI产品出海1期1群_2025-10-14.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:58:36.666Z] [worker 1] 深海圈丨AI产品出海1期1群_2025-10-15.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:59:05.814Z] [worker 3] 深海圈丨AI产品出海1期1群_2025-10-16.txt {"success":true,"message":"Report imported successfully (LLM)"}
[2025-12-13T08:59:12.572Z] [worker 1] 深海圈丨AI产品出海1期1群_2025-10-18.txt {"success":true,"message":"Report imported successfully (LLM)"}
